,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disciplinary Actions,North Dakota,,Male,30 ,81.1 ,0 ,0.0 ,30 ,81.1 ,9 ,24.3 ,0 ,0.0 ,0 ,0.0 ,1-3 ,5.4 ,19 ,51.4 ,0 ,0.0 ,0 ,0.0 ,1-3 ,5.4 ,468,99.6 
Disciplinary Actions,North Dakota,Expulsions without educational services,Female,7 ,18.9 ,0 ,0.0 ,7 ,18.9 ,5 ,13.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,5.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,37 ,100.0 ,0 ,0.0 ,37 ,100.0 ,14 ,37.8 ,0 ,0.0 ,0 ,0.0 ,1-3 ,5.4 ,21 ,56.8 ,0 ,0.0 ,0 ,0.0 ,1-3 ,5.4 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,53 ,80.3 ,0 ,0.0 ,53 ,80.3 ,16 ,24.2 ,0 ,0.0 ,0 ,0.0 ,1-3 ,3.0 ,35 ,53.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,3.0 ,468,99.6 
Disciplinary Actions,North Dakota,Expulsions with or without educational services,Female,13 ,19.7 ,0 ,0.0 ,13 ,19.7 ,7 ,10.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,6 ,9.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,66 ,100.0 ,0 ,0.0 ,66 ,100.0 ,23 ,34.8 ,0 ,0.0 ,0 ,0.0 ,1-3 ,3.0 ,41 ,62.1 ,0 ,0.0 ,0 ,0.0 ,1-3 ,3.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,18 ,90.0 ,0 ,0.0 ,18 ,90.0 ,8 ,40.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,10.0 ,8 ,40.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,10.0 ,468,99.6 
Disciplinary Actions,North Dakota,Expulsions under zero-tolerance policies,Female,1-3 ,10.0 ,0 ,0.0 ,1-3 ,10.0 ,1-3 ,10.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,20 ,100.0 ,0 ,0.0 ,20 ,100.0 ,10 ,50.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,10.0 ,8 ,40.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,10.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,381 ,75.4 ,1-3 ,0.4 ,379 ,75.0 ,74 ,14.7 ,1-3 ,0.4 ,16 ,3.2 ,15 ,3.0 ,272 ,54.1 ,0 ,0.0 ,0 ,0.0 ,14 ,2.8 ,468,99.6 
Disciplinary Actions,North Dakota,Referral to law enforcement,Female,124 ,24.6 ,0 ,0.0 ,124 ,24.6 ,30 ,6.0 ,0 ,0.0 ,6 ,1.2 ,4 ,0.8 ,80 ,15.9 ,4 ,0.8 ,0 ,0.0 ,6 ,1.2 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,505 ,100.0 ,1-3 ,0.4 ,503 ,99.6 ,104 ,20.7 ,1-3 ,0.4 ,22 ,4.4 ,19 ,3.8 ,352 ,70.0 ,4 ,0.8 ,0 ,0.0 ,20 ,4.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,132 ,74.6 ,1-3 ,1.1 ,130 ,73.4 ,22 ,12.7 ,4 ,2.3 ,6 ,3.5 ,6 ,3.5 ,90 ,52.0 ,0 ,0.0 ,1-3 ,1.2 ,4 ,2.3 ,468,99.6 
Disciplinary Actions,North Dakota,School-related arrests,Female,45 ,25.4 ,1-3 ,1.1 ,43 ,24.3 ,12 ,6.9 ,0 ,0.0 ,1-3 ,1.2 ,1-3 ,1.2 ,27 ,15.6 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.1 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,177 ,100.0 ,4 ,2.3 ,173 ,97.7 ,34 ,19.7 ,4 ,2.3 ,8 ,4.6 ,8 ,4.6 ,117 ,67.6 ,0 ,0.0 ,1-3 ,1.2 ,6 ,3.4 ,468,99.6 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1 Data by race/ethnicity were collected only for students without disabilities and students with disabilities served under the Individuals with Disabilities Education Act (IDEA), but not for students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,  Percentages reflect the race/ethnic composition of students without disabilities and students with disabilities served under IDEA.,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Percentage over all public school students without disabilities and students with disabilities (both served under IDEA and served solely under Section 504).,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 59 public school students who received corporal punishment, 1-3 (3.4%) were students with disabilities served solely under Section 504 and 57 (96.6%) were students without disabilities or with disabilities served under IDEA.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            Table reads:  Of all 57 public school students without disabilities or with disabilities served under IDEA who received corporal punishment, 15 (26.3%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59,,1-3,,57,,15,,0,,,,,,,,,,,,,,,
