State,Total Students,American Indian or Alaska Native Number,American Indian or Alaska Native Percent,Asian Number,Asian Percent,Hispanic or Latino of any race Number,Hispanic or Latino of any race Percent,Black or African American Number,Black or African American Percent,White Number,White Percent,Native Hawaiian or Other Pacific Islander Number,Native Hawaiian or Other Pacific Islander Percent,Two or more races Number,Two or more races Percent,Students With Disabilities Served Under IDEA Number,Students With Disabilities Served Under IDEA Percent,Students With Disabilities Served Only Under Section 504 Number,Students With Disabilities Served Only Under Section 504 Percent,English Language Learners Number,English Language Learners Percent,Number of Schools,Percent of Schools Reporting
Georgia,"3,604 ",4 ,0.1 ,187 ,5.2 ,569 ,15.8 ,"1,795 ",49.8 ,904 ,25.1 ,0 ,0.0 ,145 ,4.0 ,"1,660 ",46.1 ,9 ,0.2 ,153 ,4.2 ,"2,422",100.0 
Hawaii,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,286,100.0 
Idaho,301 ,11 ,3.7 ,0 ,0.0 ,30 ,10.0 ,8 ,2.7 ,240 ,79.7 ,0 ,0.0 ,12 ,4.0 ,221 ,73.4 ,1-3 ,0.7 ,4 ,1.3 ,703,99.6 
Illinois,"2,937 ",6 ,0.2 ,28 ,1.0 ,198 ,6.7 ,"1,047 ",35.6 ,"1,557 ",53.0 ,1-3 ,0.1 ,99 ,3.4 ,"2,557 ",87.1 ,16 ,0.5 ,28 ,1.0 ,"4,221",100.0 
Indiana,"1,216 ",4 ,0.3 ,11 ,0.9 ,33 ,2.7 ,205 ,16.9 ,905 ,74.4 ,1-3 ,0.2 ,56 ,4.6 ,979 ,80.5 ,9 ,0.7 ,6 ,0.5 ,"1,875",99.8 
Iowa,"1,260 ",6 ,0.5 ,9 ,0.7 ,59 ,4.7 ,266 ,21.1 ,875 ,69.4 ,1-3 ,0.2 ,43 ,3.4 ,"1,018 ",80.8 ,1-3 ,0.2 ,9 ,0.7 ,"1,458",100.0 
Kansas,456 ,4 ,0.9 ,6 ,1.3 ,26 ,5.7 ,54 ,11.8 ,323 ,70.8 ,1-3 ,0.4 ,41 ,9.0 ,379 ,83.1 ,0 ,0.0 ,9 ,2.0 ,"1,389",99.9 
Kentucky,"1,114 ",0 ,0.0 ,6 ,0.5 ,33 ,3.0 ,152 ,13.6 ,898 ,80.6 ,0 ,0.0 ,25 ,2.2 ,743 ,66.7 ,7 ,0.6 ,4 ,0.4 ,"1,417",100.0 
Louisiana,250 ,4 ,1.6 ,0 ,0.0 ,6 ,2.4 ,186 ,74.4 ,52 ,20.8 ,0 ,0.0 ,1-3 ,0.8 ,90 ,36.0 ,13 ,5.2 ,0 ,0.0 ,"1,394",100.0 
Maine,550 ,4 ,0.7 ,1-3 ,0.4 ,6 ,1.1 ,24 ,4.4 ,506 ,92.0 ,0 ,0.0 ,8 ,1.5 ,491 ,89.3 ,7 ,1.3 ,4 ,0.7 ,595,98.8 
Maryland,498 ,1-3 ,0.4 ,13 ,2.6 ,36 ,7.2 ,173 ,34.7 ,242 ,48.6 ,0 ,0.0 ,32 ,6.4 ,384 ,77.1 ,9 ,1.8 ,10 ,2.0 ,"1,444",100.0 
Massachusetts,905 ,1-3 ,0.2 ,12 ,1.3 ,220 ,24.3 ,151 ,16.7 ,482 ,53.3 ,0 ,0.0 ,38 ,4.2 ,761 ,84.1 ,12 ,1.3 ,37 ,4.1 ,"1,834",93.2 
Michigan,"2,569 ",31 ,1.2 ,17 ,0.7 ,99 ,3.9 ,438 ,17.0 ,"1,934 ",75.3 ,1-3 ,0.1 ,48 ,1.9 ,"1,845 ",71.8 ,12 ,0.5 ,11 ,0.4 ,"3,626",99.9 
Minnesota,"2,679 ",74 ,2.8 ,29 ,1.1 ,116 ,4.3 ,"1,252 ",46.7 ,"1,130 ",42.2 ,15 ,0.6 ,63 ,2.4 ,"1,842 ",68.8 ,15 ,0.6 ,36 ,1.3 ,"2,077",99.1 
Mississippi,239 ,0 ,0.0 ,1-3 ,0.8 ,1-3 ,0.8 ,152 ,63.6 ,81 ,33.9 ,0 ,0.0 ,1-3 ,0.8 ,87 ,36.4 ,0 ,0.0 ,1-3 ,0.8 ,973,99.4 
Missouri,"1,906 ",4 ,0.2 ,6 ,0.3 ,39 ,2.0 ,321 ,16.8 ,"1,501 ",78.8 ,6 ,0.3 ,29 ,1.5 ,"1,102 ",57.8 ,12 ,0.6 ,6 ,0.3 ,"2,312",100.0 
Montana,152 ,18 ,11.8 ,0 ,0.0 ,6 ,3.9 ,8 ,5.3 ,112 ,73.7 ,0 ,0.0 ,8 ,5.3 ,89 ,58.6 ,0 ,0.0 ,1-3 ,1.3 ,781,99.2 
Nebraska,324 ,11 ,3.4 ,1-3 ,0.6 ,23 ,7.1 ,35 ,10.8 ,228 ,70.4 ,1-3 ,0.6 ,23 ,7.1 ,244 ,75.3 ,1-3 ,0.6 ,1-3 ,0.6 ,"1,073",100.0 
Nevada,638 ,6 ,0.9 ,16 ,2.5 ,127 ,19.9 ,187 ,29.3 ,253 ,39.7 ,8 ,1.3 ,41 ,6.4 ,608 ,95.3 ,1-3 ,0.3 ,4 ,0.6 ,649,100.0 
New Hampshire,524 ,0 ,0.0 ,4 ,0.8 ,17 ,3.2 ,18 ,3.4 ,481 ,91.8 ,0 ,0.0 ,4 ,0.8 ,443 ,84.5 ,6 ,1.1 ,6 ,1.1 ,478,98.5 
New Jersey,"1,268 ",1-3 ,0.2 ,39 ,3.1 ,213 ,16.8 ,524 ,41.3 ,461 ,36.4 ,0 ,0.0 ,29 ,2.3 ,"1,095 ",86.4 ,13 ,1.0 ,0 ,0.0 ,"2,538",100.0 
New Mexico,153 ,12 ,7.8 ,0 ,0.0 ,79 ,51.6 ,9 ,5.9 ,47 ,30.7 ,0 ,0.0 ,6 ,3.9 ,114 ,74.5 ,1-3 ,1.3 ,21 ,13.7 ,853,98.8 
New York,"2,370 ",14 ,0.6 ,17 ,0.7 ,225 ,9.5 ,699 ,29.5 ,"1,367 ",57.7 ,1-3 ,0.1 ,46 ,1.9 ,"2,106 ",88.9 ,11 ,0.5 ,11 ,0.5 ,"4,864",99.9 
North Carolina,505 ,4 ,0.8 ,4 ,0.8 ,16 ,3.2 ,188 ,37.2 ,269 ,53.3 ,0 ,0.0 ,24 ,4.8 ,410 ,81.2 ,6 ,1.2 ,6 ,1.2 ,"2,535",99.9 
North Dakota,104 ,8 ,7.7 ,0 ,0.0 ,1-3 ,1.9 ,6 ,5.8 ,86 ,82.7 ,0 ,0.0 ,1-3 ,1.9 ,81 ,77.9 ,1-3 ,1.9 ,0 ,0.0 ,468,99.6 
Ohio,"1,381 ",0 ,0.0 ,6 ,0.4 ,30 ,2.2 ,346 ,25.1 ,885 ,64.1 ,0 ,0.0 ,114 ,8.3 ,"1,098 ",79.5 ,9 ,0.7 ,6 ,0.4 ,"3,702",99.9 
Oklahoma,639 ,58 ,9.1 ,6 ,0.9 ,59 ,9.2 ,217 ,34.0 ,273 ,42.7 ,1-3 ,0.3 ,24 ,3.8 ,315 ,49.3 ,4 ,0.6 ,26 ,4.1 ,"1,774",99.6 
Oregon,739 ,17 ,2.3 ,10 ,1.4 ,98 ,13.3 ,42 ,5.7 ,538 ,72.8 ,0 ,0.0 ,34 ,4.6 ,654 ,88.5 ,1-3 ,0.3 ,22 ,3.0 ,"1,312",99.9 
Pennsylvania,"1,554 ",1-3 ,0.1 ,8 ,0.5 ,100 ,6.4 ,433 ,27.9 ,966 ,62.2 ,1-3 ,0.1 ,43 ,2.8 ,"1,132 ",72.8 ,7 ,0.5 ,8 ,0.5 ,"3,220",99.6 
Rhode Island,438 ,7 ,1.6 ,4 ,0.9 ,89 ,20.3 ,84 ,19.2 ,244 ,55.7 ,4 ,0.9 ,6 ,1.4 ,338 ,77.2 ,4 ,0.9 ,6 ,1.4 ,291,100.0 
South Carolina,717 ,0 ,0.0 ,4 ,0.6 ,14 ,2.0 ,382 ,53.3 ,295 ,41.1 ,0 ,0.0 ,22 ,3.1 ,440 ,61.4 ,1-3 ,0.3 ,6 ,0.8 ,"1,219",96.0 
South Dakota,272 ,72 ,26.5 ,4 ,1.5 ,9 ,3.3 ,22 ,8.1 ,161 ,59.2 ,0 ,0.0 ,4 ,1.5 ,169 ,62.1 ,0 ,0.0 ,6 ,2.2 ,668,100.0 
Tennessee,947 ,1-3 ,0.2 ,4 ,0.4 ,15 ,1.6 ,258 ,27.2 ,658 ,69.5 ,0 ,0.0 ,10 ,1.1 ,720 ,76.0 ,28 ,3.0 ,6 ,0.6 ,"1,802",99.9 
Texas,"5,607 ",33 ,0.6 ,38 ,0.7 ,"1,768 ",31.5 ,"1,358 ",24.2 ,"2,280 ",40.7 ,4 ,0.1 ,126 ,2.2 ,"4,273 ",76.2 ,47 ,0.8 ,269 ,4.8 ,"8,472",100.0 
Utah,332 ,7 ,2.1 ,5 ,1.5 ,30 ,9.0 ,19 ,5.7 ,265 ,79.8 ,1-3 ,0.6 ,4 ,1.2 ,298 ,89.8 ,0 ,0.0 ,6 ,1.8 ,981,100.0 
Vermont,396 ,6 ,1.5 ,4 ,1.0 ,10 ,2.5 ,16 ,4.0 ,354 ,89.4 ,0 ,0.0 ,6 ,1.5 ,284 ,71.7 ,27 ,6.8 ,4 ,1.0 ,295,100.0 
Virginia,725 ,6 ,0.8 ,6 ,0.8 ,22 ,3.0 ,373 ,51.4 ,281 ,38.8 ,1-3 ,0.3 ,35 ,4.8 ,568 ,78.3 ,4 ,0.6 ,4 ,0.6 ,"1,984",100.0 
Washington,873 ,27 ,3.1 ,12 ,1.4 ,116 ,13.3 ,46 ,5.3 ,620 ,71.0 ,9 ,1.0 ,43 ,4.9 ,538 ,61.6 ,5 ,0.6 ,11 ,1.3 ,"2,256",100.0 
West Virginia,402 ,0 ,0.0 ,0 ,0.0 ,4 ,1.0 ,38 ,9.5 ,352 ,87.6 ,0 ,0.0 ,8 ,2.0 ,261 ,64.9 ,1-3 ,0.5 ,0 ,0.0 ,733,100.0 
Wisconsin,"1,950 ",64 ,3.3 ,24 ,1.2 ,84 ,4.3 ,261 ,13.4 ,"1,453 ",74.5 ,0 ,0.0 ,64 ,3.3 ,"1,336 ",68.5 ,1-3 ,0.1 ,20 ,1.0 ,"2,242",92.1 
Wyoming,152 ,12 ,7.9 ,0 ,0.0 ,15 ,9.9 ,1-3 ,1.3 ,117 ,77.0 ,0 ,0.0 ,6 ,3.9 ,141 ,92.8 ,0 ,0.0 ,1-3 ,1.3 ,349,100.0 
